"from","to"
"Lucid, Shannon W.","Noguchi, Soichi"
"Lucid, Shannon W.","Kotov, Oleg"
"Lucid, Shannon W.","Creamer, Timothy J."
"Blaha, John E.","Lucid, Shannon W."
"Blaha, John E.","Linenger, Jerry M."
"Blaha, John E.","Korzun, Valery"
"Blaha, John E.","Noguchi, Soichi"
"Blaha, John E.","Kotov, Oleg"
"Blaha, John E.","Creamer, Timothy J."
"Linenger, Jerry M.","Lucid, Shannon W."
"Linenger, Jerry M.","Blaha, John E."
"Linenger, Jerry M.","Korzun, Valery"
"Linenger, Jerry M.","Noguchi, Soichi"
"Linenger, Jerry M.","Kotov, Oleg"
"Linenger, Jerry M.","Creamer, Timothy J."
"Korzun, Valery","Lucid, Shannon W."
"Korzun, Valery","Blaha, John E."
"Korzun, Valery","Linenger, Jerry M."
"Korzun, Valery","Noguchi, Soichi"
"Korzun, Valery","Kotov, Oleg"
"Korzun, Valery","Creamer, Timothy J."
"Noguchi, Soichi","Lucid, Shannon W."
"Noguchi, Soichi","Blaha, John E."
"Noguchi, Soichi","Linenger, Jerry M."
"Noguchi, Soichi","Korzun, Valery"
"Noguchi, Soichi","Kotov, Oleg"
"Noguchi, Soichi","Creamer, Timothy J."
"Kotov, Oleg","Lucid, Shannon W."
"Kotov, Oleg","Blaha, John E."
"Kotov, Oleg","Linenger, Jerry M."
"Kotov, Oleg","Korzun, Valery"
"Kotov, Oleg","Noguchi, Soichi"
"Kotov, Oleg","Creamer, Timothy J."
"Creamer, Timothy J.","Lucid, Shannon W."
"Creamer, Timothy J.","Blaha, John E."
"Creamer, Timothy J.","Linenger, Jerry M."
"Creamer, Timothy J.","Korzun, Valery"
"Creamer, Timothy J.","Noguchi, Soichi"
"Creamer, Timothy J.","Kotov, Oleg"
"Foale, C. Michael","Tsibliyev, Vasili"
"Foale, C. Michael","Kondakova, Yelena V."
"Foale, C. Michael","Lazutkin, Aleksandr"
"Foale, C. Michael","Caldwell, Tracy E."
"Foale, C. Michael","Skvortsov, Aleksandr Jr."
"Foale, C. Michael","Korniyenko, Mikhail"
"Tsibliyev, Vasili","Foale, C. Michael"
"Tsibliyev, Vasili","Kondakova, Yelena V."
"Tsibliyev, Vasili","Lazutkin, Aleksandr"
"Tsibliyev, Vasili","Caldwell, Tracy E."
"Tsibliyev, Vasili","Skvortsov, Aleksandr Jr."
"Tsibliyev, Vasili","Korniyenko, Mikhail"
"Kondakova, Yelena V.","Foale, C. Michael"
"Kondakova, Yelena V.","Tsibliyev, Vasili"
"Kondakova, Yelena V.","Lazutkin, Aleksandr"
"Kondakova, Yelena V.","Caldwell, Tracy E."
"Kondakova, Yelena V.","Skvortsov, Aleksandr Jr."
"Kondakova, Yelena V.","Korniyenko, Mikhail"
"Lazutkin, Aleksandr","Foale, C. Michael"
"Lazutkin, Aleksandr","Tsibliyev, Vasili"
"Lazutkin, Aleksandr","Kondakova, Yelena V."
"Lazutkin, Aleksandr","Caldwell, Tracy E."
"Lazutkin, Aleksandr","Skvortsov, Aleksandr Jr."
"Lazutkin, Aleksandr","Korniyenko, Mikhail"
"Caldwell, Tracy E.","Foale, C. Michael"
"Caldwell, Tracy E.","Tsibliyev, Vasili"
"Caldwell, Tracy E.","Kondakova, Yelena V."
"Caldwell, Tracy E.","Lazutkin, Aleksandr"
"Caldwell, Tracy E.","Skvortsov, Aleksandr Jr."
"Caldwell, Tracy E.","Korniyenko, Mikhail"
"Skvortsov, Aleksandr Jr.","Foale, C. Michael"
"Skvortsov, Aleksandr Jr.","Tsibliyev, Vasili"
"Skvortsov, Aleksandr Jr.","Kondakova, Yelena V."
"Skvortsov, Aleksandr Jr.","Lazutkin, Aleksandr"
"Skvortsov, Aleksandr Jr.","Caldwell, Tracy E."
"Skvortsov, Aleksandr Jr.","Korniyenko, Mikhail"
"Korniyenko, Mikhail","Foale, C. Michael"
"Korniyenko, Mikhail","Tsibliyev, Vasili"
"Korniyenko, Mikhail","Kondakova, Yelena V."
"Korniyenko, Mikhail","Lazutkin, Aleksandr"
"Korniyenko, Mikhail","Caldwell, Tracy E."
"Korniyenko, Mikhail","Skvortsov, Aleksandr Jr."
"Titov, Vladimir","Solovyev, Anatoly"
"Titov, Vladimir","Wolf, David A."
"Titov, Vladimir","Thomas, Andrew S. W."
"Titov, Vladimir","Vinogradov, Pavel"
"Titov, Vladimir","Sharipov, Salizhan"
"Titov, Vladimir","Yurchikhin, Fyodor"
"Titov, Vladimir","Wheelock, Douglas H."
"Titov, Vladimir","Walker, Shannon"
"Solovyev, Anatoly","Titov, Vladimir"
"Solovyev, Anatoly","Wolf, David A."
"Solovyev, Anatoly","Thomas, Andrew S. W."
"Solovyev, Anatoly","Vinogradov, Pavel"
"Solovyev, Anatoly","Sharipov, Salizhan"
"Solovyev, Anatoly","Yurchikhin, Fyodor"
"Solovyev, Anatoly","Wheelock, Douglas H."
"Solovyev, Anatoly","Walker, Shannon"
"Wolf, David A.","Titov, Vladimir"
"Wolf, David A.","Solovyev, Anatoly"
"Wolf, David A.","Thomas, Andrew S. W."
"Wolf, David A.","Vinogradov, Pavel"
"Wolf, David A.","Sharipov, Salizhan"
"Wolf, David A.","Yurchikhin, Fyodor"
"Wolf, David A.","Wheelock, Douglas H."
"Wolf, David A.","Walker, Shannon"
"Thomas, Andrew S. W.","Titov, Vladimir"
"Thomas, Andrew S. W.","Solovyev, Anatoly"
"Thomas, Andrew S. W.","Wolf, David A."
"Thomas, Andrew S. W.","Vinogradov, Pavel"
"Thomas, Andrew S. W.","Sharipov, Salizhan"
"Thomas, Andrew S. W.","Yurchikhin, Fyodor"
